"input_meta","input_text"
"post_118","permission denied error when installing ubuntu 14.04 with wubi every time i try to install ubuntu 14.04 using wubi.exe , after 10 minutes the message `` permission denied '' is given and it points to a log file that i can not find ."
"post_119","gnupg and cipher mode of operation what cipher mode of operation does the gnupg software use ? and how i can change the mode ? inopenssl , i can explicit say `` aes-256-ecb '' or `` aes-256-cbc '' ."
"post_120","why ca n't i access a directory i have group r-x ( 750 ) privileges for ? i have this directory : drwxr-x -- - 2 root adm 160 2011-08-18 02:13 apache2im belonging to the groupadmbut i can not access to the directory..it says : `` permission denied '' ."
"post_121","can not change my screen brightness though i am pressing brightness keys on my laptop.the brightness is still not changing but showing change in progress bar of brightness setting.hardware spec : intel pentium dual core 2.1 ghz 64 bit processor ; intel hd3000 graphic card ; 2 gb ram 1333 mhz ; 500 gb hdd sata ; model : lenovo g580 ( 2689 ) ; ubuntu 13.10 updated up to dateno problem if i get temporary solutions ... but please help ."
"post_122","virtualbox guest crashes with `memory can not be written` notice i have awindows 7 64bit gueston awindows 7 64bits hostvirtualbox 5.0.26.in undetermined times/circumstances , the virtualbox guest crashes with : any idea how the above can be resolved ? edit 1 : this happens only in virtualbox , never on the host ."
"post_123","smooth font rendering for japanese characters i am using windows 7 and have set font smoothing to cleartype . however , japanese characters display very roughly throughout the operating system . what can i do so they are rendered smoothly like other characters ? here is a sample of what they currently look like :"
"post_124","how do i copy contents of a file and concatenate it into a new file ? i have to make new files that contain the original file contents twice and then concatenate it line by line . for example : file 1 : abcdabcd abcdabcd to new file 1 : abcdabcd abcdabcd abcdabcd abcdabcd"
"post_125","double click open jar app not find file in jar root folder in my java app i open an exe with processbuilder and that exe makes something , this exe needs some files and i located them in my jar root directory but when i run jar with double click i get file not exist error but when i run app from terminal everything is success . by the way with double click getproperty ( `` user.dir '' ) gets wrong path but from terminal it gets right path ."
"post_126","how to start and shutdown computer at a given time i want to start and shutdown at some given time . for example if i want to shutdown after 1 hour then i can simply right click then create a shortuct and typeshutdown -s -t 3600then my computer will shutdown after 1 hour.is there any way to wake up from sleep mode or restart computer or simply start the computer using batch scripting or like the way i am doing to shutdown or any other way ? notei dont want to use powershell"
"post_127","ls command is only showing files , and no folders ( spaces ? instead of them ) today i typed ls command in my home directory , and it only showed `` examples.desktop '' . but it showed all the folders like documents and downloads . what is the problem and is there a way to fix that ? thanks"
"post_128","/etc/thnuclnt/.thnumod - what is that file for ? ~ & gt ; sudo find / -user root -perm -4000 -ls 710826 44 -rwsr-xr -- 1 root messagebus 42500 3 22:31 /lib/dbus-1.0/dbus-daemon-launch-helper 658951 464 -rwsr-xr-x 1 root root 472124 28 2011 /etc/thnuclnt/.thnumod ... and~ & gt ; ll /etc/thnuclnt/.thnumod -rwsr-xr-x 1 root root 462k 2011-07-28 18:12 /etc/thnuclnt/.thnumod* ~ & gt ; file /etc/thnuclnt/.thnumod /etc/thnuclnt/.thnumod : setuid elf 32-bit lsb executable , intel 80386 , version 1 ( sysv ) , statically linked , for gnu/linux 2.4.1 , stripped"
"post_129","find greatest last-modified files of /dira/file , /dirb/file suppose we have two directories , dira , dirb , which the exact same pdf files , just different last modified.what is a bash script ( no awk ) that can search through each file name ( assume always in both dira , dirb ) and for each filename , outputs which of the files ( dira/file or dirb/file ) has the greater last-modified ; file-modified-last ? e.g.if dira/file.lastmodified & gt ; dirb/file.lastmodified # # take action"
"post_130","how and where is the at command configured ? when i install a new linux system , one of my first tasks is to have crontab send all its email to a designated email address , not root . i want to do the same for theatcommand.that is i would like theatcommand to send itsjob concludedemail to a different email than the user who invoked the at command.however , i can not find whereatis configured . i have been poking around my centos 6.4 system to no avail ."
"post_131","will a new gfx card fit ? sorry for the ignorance , i know nothing regarding hardware . i currently have a gtx 770 but want to upgrade it in the near future . is it possible to just buy something like a 980 and have it replace the 770 ? or is this dependant on the motherboard ?"
"post_132","editing a file with several hard links let 's say i have two hard links pointing at the same picture./photography/picture_1.jpg /best_pictures/picture_1.jpgwhat happens if i edit/photography/picture_1.jpg ? is the hard link broken and did i end up with 2 different files ? does it keep the link and therefore edit the `` second '' file , accessed by the second pointer ?"
"post_133","hostname on intranet i have a test server that is running ubuntu server in a windows network.networking is configured as followsauto eth0 iface eth0 inet dhcp hostname cathe commandcat /etc/hostnamereturnsca.but when i use the commandhost 10.49.156.196 ( its current ip address ) from another machine on the network , it returns as follows:196.156.49.10.in-addr.arpa domain name pointer owner-pc.xxxxx.xxxi can access the machine via ssh and browser using ip address , but not by namecaany suggestions ? i tried installing samba/nmbd as suggested inanother post , but to no avail ."
"post_134","where are my passwords stored in browser ? when i click the remember me radio while signing into a web application , i know that my password is saved into somewhere inside my browser . i want to know the exact location of that file in my os directory ."
"post_135","where can i find network connection details ? my internet connections works well , but where can i find it 's configuration files ? i tried to find it here : /etc/network/interfaces/etc/networkmanagerbut , there is nothing relevant to my eth0 connection.thanks !"
"post_136","reboot windows computer using putty ( ssh ) i am running putty and am able to ssh into a network ( tomato is running the ssh server ) . how can i reboot a windows computer on the network from putty ? what command do i type ?"
"post_137","automatically mute speakers when headphones are unplugged i was wondering if there is a `` software '' solution to automatically mute the laptop speakers when the headphones are `` unplugged '' ? os : windows xp sp3laptop : dell vostro 1510audio drivers : realtekplease provide software solutions only . i do n't want to buy any additional hardware to achieve this ."
"post_138","can not open sql files in vs2010 on win7 x64 if i try to open sql files in visual studio 2010 on win7 x64 , vs just hangs and i have to kille the process . this is happening with both local files and files on tfs . i have no problem with opening sql files in vs2012 on the same pc . what could be causing the problem ?"
"post_139","how can i minimize visual studio 2010 to the system tray to save taskbar real estate ? i was wondering if there was a way to run visual studio 2010 in system tray ? does anyone know if that 's possible ?"
"post_140","shell script that monitors cpu usage and terminates services with high cpu utilisation we have a server where 3 services are running constantly . sometimes these services consume over 90 % cpu . restarting these services returns normalcy . i need a script/program that will constantly monitor cpu usage and if usage is high then restart those services ."
"post_141","can not execute commands in terminal my terminal does not show my username when i open a new window . additionally , i ca n't execute any commands either . this is what is in my window : ... last login : sat oct 5 22:27:07 on ttys000 ls -1 [ process completed ] ... i can not runpwdorcdorls -1etc : here are my startup settings : any suggestions ?"
"post_142","only color files according to file types ? when usinglsto list files in a directory , the files are colored according to their access permissions.is it possible to color the files only according to their file types ( e.g . a regular file , a directory , a special file such as a socket , a symlink , ... ) ?"
"post_143","how do i artificially increase the latency for a device in my network ? i want to test how ping would affect my gameplay on call of duty onps4 and was wondering if there was a way to add about 100ms latency to my ps4 's network connection ?"
"post_144","unable to access github , getting err_ssl_protocol_error error when i access github.com from my office i am getting this error onhttps : //assets-cdn.github.com , ssl connection error err_ssl_protocol_error unable to make a secure connection to the server . this may be a problem with the server , or it may be requiring a client authentication certificate that you do n't have.my pc is brand new and i have win 7 professional . the lan settings is saying detect settings automatically ."
"post_145","non-ejected time machine external hdd no longer connects to mac i accidentally unplugged ( without ejecting ) my formatted external seagate hdd i 've been using happily as a time machine on my mac . now the disk itself is n't recognised by the computer , and the light on the drive just pulsates.any ideas how to get it hooked up again ?"
"post_146","how to calculate size of a very large folder over ftp ? i have ftp access to a web-server which has a large folder ( by large i mean ~200gb ) . how can i get number of files and it 's exact size ? i have tried 'du -hs ' but it takes a life to receive a response and meanwhile my connection drops and everything is ruined.is there a more quick/stable way to do this ? p.s . remote os is linux"
"post_147","how to run indicator-synapse in lubuntu i 'm running lubuntu 13.10 and i have added the following repositories to install indicator-synapseppa : elementary-os/daily ppa : elementary-os/unstable-upstreamand successfully installed indicator-synapse using apt-get . however , i am unable to find or even run indicator-synapse from the command line and can not find it to add to the panel in lubuntu . i 've successfully installed synapse but not the indicator-synapse.can anybody assist ?"
"post_148","bash : ca n't set a variable to a solid string i can not set a variable with a whole command-string as following : a= '' /bin/ps wwwaux '' for a in $ a do echo `` $ a '' doneit assigns array instead of solid string somewhy . could you assist , please.my environment : gnu/linux , gnu bash , version 3.2.51 ( 1 ) -release ( x86_64-suse-linux-gnu )"
"post_149","how to install gnome software center in ubuntu gnome 15.04 ? how can i install the gnome software center ? i have found the .tat.xz file on softpediahttp : //linux.softpedia.com/get/system/software-distribution/gnome-software-102470.shtmlbut am unable to build in on ubuntu 15.04 . ./configure gives errors ."
